ID,Date,Condition,Collector,Location,DS,IC,Comp,Age,Gender,Student,Mjr.Occ,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,Imp.1,Eff.1,Exc,Comments,Collection,DV,filter_$
A316,5/20/17,L,AG,City Marke,1,1,1,29,F,N,Analytical consultant,5,5,4,3,2,4,2,4,4,4,0,NA,2,3.666666667,1
A317,5/20/17,L,AG,City Marke,1,1,1,24,M,Y,Biomedical engineering,6,5,6,6,7,5,6,5,5,6,0,NA,2,5.666666667,1
A318,5/20/17,L,AG,City Marke,1,1,1,47,F,N,Professor of education,7,7,4,4,7,7,7,5,4,5,0,NA,2,6.666666667,1
A319,6/9/17,L,LH,Charlottes,1,1,1,25,F,N,Model,6,6,4,7,7,7,6,6,2,3,0,NA,2,6.333333333,1
A320,6/9/17,L,LH,Charlottes,1,1,1,25,F,N,HR Recruitment (UVA),3,4,4,5,2,3,2,2,6,6,0,NA,2,2.666666667,1
A321,6/3/17,H,LH,City Marke,1,1,1,70,M,N,Engineering,5,4,4,5,5,5,6,5,4,4,1,NA,2,5,0
A322,6/3/17,H,LH,City Marke,1,1,1,47,M,N,"""Professional""",6, ,5,6,6,5,6,5,6,5,0,NA,2,5.6,1
A323,6/3/17,H,LH,City Marke,1,1,1,22,F,Y,Medical student,6,6,6,7,7,6,7,6,5,5,0,NA,2,6.333333333,1
A324,6/3/17,H,LH,City Marke,1,1,1,22,F,N,Computer science,6,7,5,7,7,7,7,6,7,7,0,NA,2,6.666666667,1
A325,6/3/17,H,LH,City Marke,1,1,1,24,F,N,Barista,6,6,6,7,7,6,7,6,6,5,0,NA,2,6.333333333,1
A326,6/3/17,H,LH,City Marke,1,1,1,60,F,N,0,6,4,6,6,6,5,5,5,5,4,0,NA,2,5.166666667,1
A327,6/3/17,H,LH,City Marke,1,1,1,61,M,N,0,6,5,6,6,7,7,7,5,7,6,0,NA,2,6.166666667,1
A328,6/3/17,H,LH,City Marke,1,1,1,65,M,N,Construction manager,7,6,6,6,7,6,7,6,6,5,1,NA,2,6.5,0
A329,6/3/17,H,LH,City Marke,1,1,1,68,F,N,"Artist (""Was psych and art major"")",2,2,2,2,4,2,4,2,0,5,0,Pa,2,2.666666667,1
A330,6/3/17,H,LH,City Marke,1,1,1,26,F,Y,Ph.D. in English,5,2,5,2,3,4,2,2,6,4,0,NA,2,3,1
A331,6/3/17,L,LH,City Marke,1,1,1,20,M,Y,Student, ,6,5,6,6,6,7,4,7,6,0,NA,2,5.8,1
A332,6/3/17,L,LH,City Marke,1,1,1,0,0,0,0,4,6,4,4,4,5,7,4,0,0,0,Pa,2,5,1
A333,6/3/17,L,LH,City Marke,1,1,1,33,F,N,Physician,7,6,6,6,7, ,7,6,5,4,0,NA,2,6.6,1
A334,6/3/17,L,LH,City Marke,1,1,1,37,0,N,Assistant professor,4,5, ,4,4,5,5,4,7,7,0,Pa,2,4.5,1
A335,6/3/17,L,LH,City Marke,1,1,1,36,F,N,0,6,5,5,6,7,5,5,5,7,7,0,NA,2,5.5,1
A336,6/3/17,L,LH,City Marke,1,1,1,18,F,Y,UVA Student,5,5,4,6,6,6,6,6,5,3,0,NA,2,5.666666667,1
A337,6/3/17,L,LH,City Marke,1,1,1,31,F,N,Athletic trainer,5,5,6,4,5,5,5,4,7,7,0,NA,2,4.833333333,1
A338,6/3/17,L,LH,City Marke,1,1,1,56,M,N,Software,4,4,4,5,5,4,5,4,1,5,0,Pa,2,4.333333333,1
A339,6/3/17,L,LH,City Marke,1,1,1,62,F,N,0,6,5,6,6,6,6,6,5,6,2,0,NA,2,5.666666667,1
A340,6/3/17,L,LH,City Marke,1,1,1,19,M,Y,AFE and ME,4,3,6,6,2,3,3,3,7,7,0,Pa,2,3,1
A341,6/3/17,H,LH,City Marke,1,1,1,42,F,N,"Music industry, former academic",7,5,5,7,7,7,7,5,6,4,0,Pa,2,6.333333333,1
A342,6/3/17,H,LH,City Marke,1,1,1,24,F,Y,Student,6,6,4,6,6,6,6,4,6,5,1,NA,2,5.666666667,0
A343,6/3/17,H,LH,City Marke,1,1,1,27,F,Y,School of medicine,7,5,7,7,7,7,7,6,6,6,1,NA,2,6.5,0
A344,6/3/17,H,LH,City Marke,1,1,1,30,F,N,Project manager (IT),5,6,5,6,5,6,7,5,7,5,0,NA,2,5.666666667,1
A345,6/3/17,H,LH,City Marke,1,1,1,33,M,N,Software engineer,5,6,7,6,6,6,7,6,5,5,0,NA,2,6,1
A346,6/3/17,H,LH,City Marke,1,1,1,27,M,N,Music therapist,6,6,5,7,5,6,6,6,6,6,0,NA,2,5.833333333,1
A347,6/3/17,H,LH,City Marke,1,1,1,27,F,N,School counselor,5,5,6,6,6,5,6,5,7,6,0,NA,2,5.333333333,1
A348,6/3/17,H,LH,City Marke,1,1,1,23,F,Y,Public health,6,6,4,6,7,6,6,7,6,6,0,NA,2,6.333333333,1
A349,6/3/17,H,LH,City Marke,1,1,1,27,M,N,Computer science,5,5,6,4,5,5,5,4,6,5,1,NA,2,4.833333333,0
A350,6/3/17,H,LH,City Marke,1,1,1,28,F,N,Teacher,6,6,5,6,6,6,7,6,6,5,0,NA,2,6.166666667,1
A351,6/3/17,L,LH,City Marke,1,1,1,42,F,Y,Registered Nurse,7,5, ,4,4,5,7, ,7,4,0,Pa,2,5.6,1
A352,6/3/17,L,LH,City Marke,1,1,1,35,F,N,Social services,6,6,6,7,6,6,6,6,5,5,0,NA,2,6,1
A353,6/3/17,L,LH,City Marke,1,1,1,34,F,N,"""Just graduated""",6,4,4,7,5,6,5,5,7,6,0,NA,2,5.166666667,1
A354,6/3/17,L,LH,City Marke,1,1,1,57,F,N,0,7,6,6,7,6,6,7,6,7,7,0,NA,2,6.333333333,1
A355,6/3/17,L,LH,City Marke,1,1,1,20,F,Y,Undecided,5,6,6,5,5,5,6,5,5,5,0,NA,2,5.333333333,1
A356,6/3/17,L,LH,City Marke,1,1,1,19,F,Y,"Political philosophy, policy & law",6,6,6,6,7,7,7,6,6,6,0,NA,2,6.5,1
A357,6/3/17,L,LH,City Marke,1,1,1,25,F,N,Teacher,5,4,4,3,3,5,4,4,6,5,0,NA,2,4.166666667,1
A358,6/13/17,L,LH,City Marke,1,1,1,41,F,N,0,5,6,5,6,5,5,5,5,7,7,0,NA,2,5.166666667,1
A359,6/3/17,L,LH,City Marke,1,1,1,51,F,N,Higher education administrator,6,4,4,5,3,4,6,4,6,3,0,NA,2,4.5,1
A360,6/3/17,L,LH,City Marke,1,1,1,29,F,N,Mental health policy researcher,7,7,6,7,7,7,7,6,7,7,0,NA,2,6.833333333,1
A361,6/3/17,H,LH,City Marke,1,2,1,24,M,N,Server,6,6,7,7,7,7,5,6,5,6,1,NA,2,6.166666667,0
A362,6/3/17,H,LH,City Marke,1,1,1,23,F,N,Cook,6,5,6,5,6,6,5,6,6,3,0,NA,2,5.666666667,1
A363,6/8/17,H,LH,Stonefield,1,1,1,64,F,N,Retired horticulturist,4,3,3,6,2,4,2,2,4,4,0,NA,2,2.833333333,1
A364,6/8/17,H,LH,Stonefield,1,1,1,51,M,N,0,6,6,7,6,6,6,7,6,7,6,0,NA,2,6.166666667,1
A365,6/8/17,H,LH,Stonefield,1,1,1,35,F,N,Personal trainer,6,6,4,6,6,6,7,6,5,5,0,NA,2,6.166666667,1
A366,6/8/17,H,LH,Stonefield,1,1,1,28,F,N,0,7,5,4, ,7,6,7,6,7,7,0,NA,2,6.333333333,1
A367,6/8/17,H,LH,Stonefield,1,1,1,44,F,N,Lawyer,6,5,6,6,6,6,7,4,4,6,0,NA,2,5.666666667,1
A368,6/8/17,H,LH,Stonefield,1,1,1,21,F,Y,Bioengineering,7,6,7,7,7,6,7,6,7,5,0,NA,2,6.5,1
A369,6/8/17,H,LH,Stonefield,2,2,1,39,F,N,Business owner/designer,7,7,7,7,7,7,7,7,7,6,0,NA,2,7,1
A370,6/8/17,H,LH,Stonefield,1,1,1,55,F,N,Business owner,4,4,7,7,2,4,5,4,7,5,0,NA,2,3.833333333,1
A371,6/3/17,L,LH,City Marke,1,1,1,29,M,N,Post-Doc,6,6,6,7,6,7,6,5,3,4,0,NA,2,6,1
A372,6/3/17,L,LH,City Marke,1,1,1,33,M,Y,Medicine,7,6,6,7,7,7,7,5,6,7,0,NA,2,6.5,1
A373,6/3/17,L,LH,City Marke,1,2,1,18,M,Y,Engineering,7,7,5,6,6,7,7,6,6,6,0,NA,2,6.666666667,1
A374,6/3/17,L,LH,City Marke,1,1,1,19,F,Y,"Geography, urban planning",7,5,6,7,7,6,7,4,6,6,0,NA,2,6,1
A375,6/3/17,L,LH,City Marke,1,1,1,20,M,Y,Biomedical engineering,6,6,7,7,6,6,7,6,5,6,0,NA,2,6.166666667,1
A376,6/3/17,L,LH,City Marke,1,1,1,27,M,N,Chemical engineer,6,7,6,5,5,6,6,6,4,4,0,NA,2,6,1
A377,6/3/17,L,LH,City Marke,1,1,1,23,F,Y,Medical student,6,5,5,5,5,5,7,5,6,5,0,NA,2,5.5,1
A378,6/3/17,L,LH,City Marke,1,1,1,23,M,Y,Mechanical engineering,6,7,5,5,7,7,7,5,7,3,0,NA,2,6.5,1
A379,6/3/17,L,LH,City Marke,1,2,1,29,M,N,Business,7,7,7,5,7,6,7,6,7,5,0,NA,2,6.666666667,1
A380,6/3/17,L,LH,City Marke,1,1,1,54,F,N,Customer care representative,7,7,5,6,7,6,6,6,6,6,0,NA,2,6.5,1
A381,6/8/17,H,LH,Stonefield,1,1,1,24,F,Y,French doctoral student,4,6,4,4,3,3,4,4,6,5,0,NA,2,4,1
A382,6/8/17,H,LH,Stonefield,1,1,1,28,F,N,Communications director,5,6,6,4,4,4,6,5,4,3,0,NA,2,5,1
A383,6/8/17,H,LH,Stonefield,0,2,1,32,F,N,0,7,6,7,7,6,7,7,6,7,6,1,NA,2,6.5,0
A384,6/8/17,H,LH,Stonefield,1,1,1,52,F,N,Counselor,6,6,4,6,5,6,6,5,5,4,0,NA,2,5.666666667,1
A385,6/8/17,H,LH,Stonefield,1,1,1,29,F,N,Physician,6,6,5,5,7,6,6,6,6,6,0,NA,2,6.166666667,1
A386,6/8/17,H,LH,Stonefield,1,1,1,23,F,N,Teacher,6,6,6,7,7,7,6,7,7,7,0,NA,2,6.5,1
A387,6/8/17,H,LH,Stonefield,1,1,1,26,F,N,Athletic trainer,6,6,5,6,7,7,7,6,7,6,0,NA,2,6.5,1
A388,6/8/17,H,LH,Stonefield,1,1,1,23,F,N,RN,6,6,6,7,3,5,6,6,5,5,0,NA,2,5.333333333,1
A389,6/8/17,H,LH,Stonefield,1,1,1,28,F,N,Team lead at wegmans,6,6,6,5,7,7,7,7,6,5,0,NA,2,6.666666667,1
A390,6/8/17,H,LH,Stonefield,1,1,1,27,M,N,Luthier,6,6,7,5,5,5,6,4,7,7,0,NA,2,5.333333333,1
A391,6/8/17,L,LH,Stonefield,1,1,1,40,F,N,Archaeologist,5,6,6,6,6,6,6,6,7,6,0,NA,2,5.833333333,1
A392,6/8/17,L,LH,Stonefield,1,1,1,65,F,N,Retired,7,5,6,6,7,6,7,6,7,7,0,NA,2,6.333333333,1
A393,6/8/17,L,LH,Stonefield,1,1,1,19,M,Y,Biology; maybe psychology,6,6,6,4,6,5,6,4,7,5,0,NA,2,5.5,1
A394,6/8/17,L,LH,Stonefield,1,1,1,17,F,Y,Human science (starting fall of 2017),6,7,6,4,6,6,7,6,7,6,1,Ex,2,6.333333333,0
A395,6/8/17,L,LH,Stonefield,1,1,1,41,M,N,Lawyer (+ part-time instructor),4,4,6,6,4,3,4,3,6,6,0,NA,2,3.666666667,1
A396,6/8/17,L,LH,Stonefield,1,1,1,24,F,N,Marketing director,6,5,5,7,6,5,7,5,6,5,0,NA,2,5.666666667,1
A397,6/8/17,L,LH,Stonefield,1,2,1,45,F,N,Teacher,6,6,5,7,6,6,6,5,7,7,1,Ex,2,5.833333333,0
A398,6/8/17,L,LH,Stonefield,1,1,1,26,M,Y,"Graduate student, aerospace",7,7,6,7,5,6,7,6,6,6,0,NA,2,6.333333333,1
A399,6/8/17,L,LH,Stonefield,1,1,1,67,M,N,Dentist,7,7, ,6,7,7,7, ,1,4,0,Pa,2,7,1
A400,6/8/17,L,LH,Stonefield,1,1,1,55,M,N,Remodeling construction,6,5,6,6,7,6,6,5,6,6,0,NA,2,5.833333333,1
A401,6/9/17,H,LH,Charlottes,1,1,1,23,F,N,Environmental non-profit,6,6,5,7,5,5,6,6,4,6,0,NA,2,5.666666667,1
A402,6/9/17,H,LH,Charlottes,1,1,1,24,M,N,Linguist,6,5,3,4,5,5,6,5,4,3,0,NA,2,5.333333333,1
A403,6/9/17,H,LH,Charlottes,1,1,1,28,F,N,Artist,6,6,6,7,7,6,7,6,6,6,0,NA,2,6.333333333,1
A404,6/9/17,H,LH,Charlottes,1,1,1,23,F,Y,"Biology major, psychology minor",7,6,6,7,7,7,7,7,7,7,0,NA,2,6.833333333,1
A405,6/9/17,H,LH,Charlottes,1,1,1,63,F,N,Professor,6,6,6,6,7,6,7,6,7,3,0,NA,2,6.333333333,1
A406,6/9/17,H,LH,Charlottes,1,1,1,18,F,Y,Makeup artist,5,6,6,6,7,6,7,6,5,5,0,NA,2,6.166666667,1
A407,6/9/17,H,LH,Charlottes,1,1,1,33,F,N,0,5,5,5,5,5,5,5,5,5,5,0,NA,2,5,1
A408,6/9/17,H,LH,Charlottes,1,1,1,26,F,Y,Environmental health,6,5,6,6,7,6,7,5,6,5,0,NA,2,6,1
A409,6/9/17,H,LH,Charlottes,1,2,1,33,M,N,Sales,5,5,5,4,5,5,5,5,6,5,0,NA,2,5,1
A410,6/9/17,H,LH,Charlottes,1,1,1,41,F,N,Archivist/librarian,6,7,5,7,6,6,7,5,6,6,0,NA,2,6.166666667,1
A411,6/8/17,L,LH,Stonefield,1,1,1,34,F,N,Physician,7,7,7,7,7,7,7,7,6,6,0,NA,2,7,1
A412,6/8/17,L,LH,Stonefield,1,1,1,40,F,Y,Special education/teacher,6,5,5,5,6,5,5,5,6,6,1,Ex,2,5.333333333,0
A413,6/8/17,L,LH,Stonefield,1,1,1,63,F,N,Retail Sales,5,5,5,5,6,5,5,4,7,5,0,NA,2,5,1
A414,6/8/17,L,LH,Stonefield,1,1,1,65,M,N,Business owner,6,6,6,7,7,7,7,6,7,7,0,NA,2,6.5,1
A415,6/8/17,L,LH,Stonefield,1,1,1,32,M,N,Accountant,7,6,5,7,7,7,7,6,4,5,0,NA,2,6.666666667,1
A416,6/9/17,L,LH,Charlottes,1,1,1,21,F,Y,Cognitive science,5,7,3,4,7,5,7,5,1,3,0,NA,2,6,1
A417,6/9/17,L,LH,Charlottes,1,1,1,21,F,N,"Asian studies, BA",7,5,5,7,7,6,5,7,5,4,0,NA,2,6.166666667,1
A418,6/9/17,L,LH,Charlottes,1,1,1,30,M,Y,"History, political science, science/legal",7,4,7,7,5,6,7,5,7,6,0,NA,2,5.666666667,1
A419,6/9/17,L,LH,Charlottes,1,1,1,32,F,N,0,6,6,5,5,6,5,5,5,7,6,0,NA,2,5.5,1
A420,6/9/17,L,LH,Charlottes,1,1,1,51,F,Y,Teacher,5,5,6,5,7,5,5,5,7,2,0,NA,2,5.333333333,1
A421,6/9/17,H,LH,Charlottes,1,1,1,43,M,N,0,5,3,1,6,5,4,5,5,6,6,0,NA,2,4.5,1
A422,6/9/17,H,LH,Charlottes,1,1,1,22,F,N,Journalism,6,5,6,6,7,7,7,4,2,3,0,NA,2,6,1
A423,6/9/17,H,LH,Charlottes,1,2,1,41,F,N,Physical therapist,5,5,7,5,7,6,6,5,6,6,0,Pa,2,5.666666667,1
A424,6/9/17,H,LH,Charlottes,1,2,1,23,F,N,Operations manager charlottesville opera,4,3,3,4,5,5,5,4,6,5,0,NA,2,4.333333333,1
A425,6/9/17,H,LH,Charlottes,1,1,1,25,F,Y,Higher education,5,6,6,6,3,5,5,4,6,6,1,Ex,2,4.666666667,0
A426,6/9/17,H,LH,Charlottes,1,1,1,27,M,N,"Associate account manager, search engine opti",5,5,6,6,4,5,6,5,5,5,0,NA,2,5,1
A427,6/9/17,H,LH,Charlottes,1,1,1,24,F,N,Police department,5,6,6,6,5,6,5,5,7,7,0,NA,2,5.333333333,1
A428,6/9/17,H,LH,Charlottes,1,1,1,23,M,N,Naval officer,5,5,5,6,7,5,6,5,4,5,0,NA,2,5.5,1
A429,6/9/17,H,LH,Charlottes,1,1,1,52,F,N,Education,5, , ,5,5,5,6,5,6,5,0,Po,2,5.2,1
A430,6/10/17,H,LH,Charlottes,1,2,1,26,M,N,Designer,7,5,6,6,7,7,7,5,5,5,1,Ex,2,6.333333333,0
A431,6/10/17,L,LH,Charlottes,1,1,1,22,F,Y,Human biology,6,6,5,6,7,6,6,5,5,4,0,NA,2,6,1
A432,6/10/17,L,LH,Charlottes,1,1,1,23,F,N,Neurophysiologist,6,6,5,7,7,7,7,6,6,5,0,NA,2,6.5,1
A433,6/10/17,L,LH,Charlottes,1,1,1,27,0,N,Graphic designer,5,6,5,5,4,4,5,4,5,5,0,NA,2,4.666666667,1
A434,6/10/17,L,LH,Charlottes,1,1,1,43,F,N,Nurse practitioner,6,6,6,5,7,7,7,6,7,5,0,NA,2,6.5,1
A435,6/10/17,L,LH,Charlottes,1,1,1,24,F,Y,Graduate student,3,4,4,3,3,4,5,3,5,5,0,Pa,2,3.666666667,1
A436,6/10/17,L,LH,Charlottes,1,1,1,27,M,N,Marketing analyst,6,5,4,4,6,5,6,5,5,7,0,NA,2,5.5,1
A437,6/10/17,L,LH,Charlottes,1,1,1,26,F,N,0,7,5,6,5,7,6,6,5,7,4,0,Pa,2,6,1
A438,6/10/17,L,LH,Charlottes,1,1,1,22,F,Y,Nursing,6,6,5,7,7,6,6,7,7,5,0,NA,2,6.333333333,1
A439,6/15/17,L,LH,Stonefield,1,1,1,29,M,Y,Agriculture/Geography,6,5,7,7,5,6,7,6,7,6,0,NA,2,5.833333333,1
A440,6/10/17,L,LH,Charlottes,1,2,1,32,M,N,Consultant,5,3,6,2,4,4,4,3,6,6,0,NA,2,3.833333333,1
A441,6/10/17,H,LH,Charlottes,1,1,1,45,M,N,"MBA/MS/OTRK; Occupational therapist, therapy",5,2,6,4,3,3,3,2,7,7,0,Pa,2,3,1
A442,6/10/17,H,LH,Charlottes,1,2,1,45,M,N,Consultant,4,5,3,2,4,3,4,4,6,5,0,NA,2,4,1
A443,6/10/17,H,LH,Charlottes,1,1,1,30,M,N,Astrophysics,5,4,6,5,6,6,7,5,7,5,0,NA,2,5.5,1
A444,6/10/17,H,LH,Charlottes,1,1,1,41,F,N,0,5,6,6,6,6,6,7,6,5,4,0,NA,2,6,1
A445,6/10/17,H,LH,Charlottes,1,1,1,51,F,N,Teacher,5,3,5,3,4,4,5,4,6,5,0,NA,2,4.166666667,1
A446,6/10/17,H,LH,Charlottes,1,1,1,26,F,N,Pre-school teacher,6,5,5,7,6,7,7,6,7,6,0,NA,2,6.166666667,1
A447,6/10/17,H,LH,Charlottes,1,2,1,32,M,N,Security consultant,5,4,6,6,6,5,6,4,1,5,0,NA,2,5,1
A448,6/10/17,H,LH,Charlottes,1,1,1,20,M,Y,Archeology & environmental sciences,5,6,4,6,3,5,5,5,6,6,0,NA,2,4.833333333,1
A449,6/10/17,H,LH,Charlottes,1,1,1,28,F,Y,Ph.D. Student Engineering,5,4,5,7,6,4,5,5,7,4,0,Pa,2,4.833333333,1
A450,6/11/17,H,LH,Charlottes,1,1,1,27,F,N,Registered nurse,6,6,6,7,6,6,7,6,7,7,0,NA,2,6.166666667,1
A451,6/10/17,L,LH,Charlottes,1,1,1,32,M,N,Engineer,7,6,5,5,6,6,7,6,6,6,0,NA,2,6.333333333,1
A452,6/10/17,L,LH,Charlottes,1,1,1,52,M,N,Teacher,4, , , ,5,4,4, ,7,1,0,Pa,2,4.25,1
A453,6/10/17,L,LH,Charlottes,1,1,1,19,F,Y,Biology,4,4,5,4,4,4,4,4,7,5,0,NA,2,4,1
A454,6/10/17,L,LH,Charlottes,1,1,1,21,F,N,US Navy,6,6,5,6,6,6,7,6,7,5,0,NA,2,6.166666667,1
A455,6/10/17,L,LH,Charlottes,1,1,1,22,F,N,Nursing,6,6,6,7,6,6,7,6,6,6,0,NA,2,6.166666667,1
A456,6/10/17,L,LH,Charlottes,1,1,1,47,M,N,Fire marshal,4,5,5,4,3,4,4,4,6,5,0,NA,2,4,1
A457,6/10/17,L,LH,Charlottes,1,1,1,27,F,Y,Psychiatric nurse practitioner,7,6,5,6,7,7,7,6,7,5,0,NA,2,6.666666667,1
A458,6/10/17,L,LH,Charlottes,1,2,1,57,F,N,Education,5,5,5,5,6,5,6,4,5,4,0,Pa,2,5.166666667,1
A459,6/10/17,L,LH,Charlottes,1,1,1,56,F,Y,Executive director of non-profit,5,6,5,7,7,7,7,6,7,0,0,NA,2,6.333333333,1
A460,6/10/17,L,LH,Charlottes,1,2,1,51,F,N,RN,4,4,4,4,4,4,4,4,7,1,0,Pa,2,4,1
A461,6/10/17,H,LH,Charlottes,1,2,1,39,M,N,Softward developer,4,3,6,5,6,5,4,4,3,5,0,NA,2,4.333333333,1
A462,6/10/17,H,LH,Charlottes,1,1,1,19,M,Y,Physics,7,6,6,7,7,6,7,5,4,6,0,NA,2,6.333333333,1
A463,6/10/17,H,LH,Charlottes,1,1,1,33,F,N,Behavior analyst,7,6,7,7,7,7,7,6,7,4,0,Pa,2,6.666666667,1
A464,6/10/17,H,LH,Charlottes,1,1,1,54,F,N,Educational consultant,6, , , ,6,6,6, ,0,7,0,Pa,2,6,1
A465,6/10/17,H,LH,Charlottes,1,1,1,28,M,Y,Ph.D. student,4,4,4,4,7,6,4,4,7,7,0,NA,2,4.833333333,1
A466,6/10/17,H,LH,Charlottes,1,1,1,32,F,N,Lab technician (research),6,5,4,4,4,7,7,6,6,5,0,Pa,2,5.833333333,1
A467,6/10/17,H,LH,Charlottes,1,1,1,37,M,N,Research bioinformaticist,6,6,4,4,6,6,7,5,7,7,1,Ex,2,6,0
A468,6/10/17,H,LH,Charlottes,1,1,1,34,M,N,Software engineer,7,7,7,7,7,7,7,5,5,5,0,NA,2,6.666666667,1
A469,6/10/17,H,LH,Charlottes,1,1,1,21,M,Y,History,7,6,6,7,7,6,6,6,4,4,0,NA,2,6.333333333,1
A470,6/10/17,H,LH,Charlottes,1,1,1,23,F,Y,Medical student,7,6,5,7,7,7,7,7,7,5,0,NA,2,6.833333333,1
A471,6/10/17,L,LH,Charlottes,1,1,1,45,M,N,0,6,5,5,5,6,6,7,5,4,4,0,NA,2,5.833333333,1
A472,6/10/17,L,LH,Charlottes,1,1,1,62,F,N,0,6,7,7,7,6,6,7,6,6,6,0,NA,2,6.333333333,1
A473,6/10/17,L,LH,Charlottes,1,1,1,31,F,Y,Graduate student,6,4,6,6,6,6,6,6,4,4,0,NA,2,5.666666667,1
A474,6/10/17,L,LH,Charlottes,1,1,1,31,M,N,Mechanical engineering, ,6,4,3,5,5,4,4,6,6,0,NA,2,4.8,1
A475,6/10/17,L,LH,Charlottes,1,1,1,36,M,N,0,7,5,6,6,7,6,7,6,6,6,0,NA,2,6.333333333,1
A476,6/10/17,L,LH,Charlottes,1,1,1,34,F,N,0,5,5,6,4,4,5,7,5,6,5,0,NA,2,5.166666667,1
A477,6/10/17,L,LH,Charlottes,1,1,1,28,F,N,0,5,4,4,5,4,6,7,6,5,5,0,NA,2,5.333333333,1
